Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Year,ShipType_Code,ShipType_Label,ShipType_Level,ShipType_Hidden,ShipType_Expand,ShipType_Note,ShipType_Order,M5011_Value,M5011_Footnote_Code,M5011_Footnote_Text,M5011_MissingValue_Code,M5011_MissingValue_Label,M2300_Value,M2300_Footnote_Code,M2300_Footnote_Text,M2300_MissingValue_Code,M2300_MissingValue_Label,M5041_Value,M5041_Footnote_Code,M5041_Footnote_Text,M5041_MissingValue_Code,M5041_MissingValue_Label,M6900_Value,M6900_Footnote_Code,M6900_Footnote_Text,M6900_MissingValue_Code,M6900_MissingValue_Label,M7000_Value,M7000_Footnote_Code,M7000_Footnote_Text,M7000_MissingValue_Code,M7000_MissingValue_Label,M3762_Value,M3762_Footnote_Code,M3762_Footnote_Text,M3762_MissingValue_Code,M3762_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,,38,1993,3,"General cargo",1,False,True,,4,0.10415924556715682,0,,,,108527,0,,,,87.8910583985941,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1993,5,"Other types of ships",1,False,True,,6,0.023532552760824933,0,,,,12666,0,,,,10.257614655123543,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1994,0,"Total fleet",0,False,True,,1,0.016587768702806746,0,,,,116072,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1994,1,"Oil tankers",1,False,True,,2,0.0009896419505873296,0,,,,2665,0,,,,2.295988696671032,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1994,3,"General cargo",1,False,True,,4,0.09456931746199153,0,,,,100419,0,,,,86.51440485216074,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1994,5,"Other types of ships",1,False,True,,6,0.023452328681894622,0,,,,12988,0,,,,11.18960645116824,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1995,0,"Total fleet",0,False,True,,1,0.016176916510779137,0,,,,116347,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1995,1,"Oil tankers",1,False,True,,2,0.0009836037535633168,0,,,,2665,0,,,,2.2905618537650305,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1995,3,"General cargo",1,False,True,,4,0.0970205355737616,0,,,,100419,0,,,,86.30991774605276,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1995,5,"Other types of ships",1,False,True,,6,0.02380930197815393,0,,,,13263,0,,,,11.399520400182213,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1996,0,"Total fleet",0,False,True,,1,0.01586701561348304,0,,,,116126,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1996,1,"Oil tankers",1,False,True,,2,0.0009992194277802162,0,,,,2665,0,,,,2.294921034049222,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1996,3,"General cargo",1,False,True,,4,0.09684002505481894,0,,,,99796,0,,,,85.93768837297418,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1996,5,"Other types of ships",1,False,True,,6,0.023916810873455582,0,,,,13665,0,,,,11.767390592976595,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1997,0,"Total fleet",0,False,True,,1,0.0138148132094145,0,,,,104343,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1997,1,"Oil tankers",1,False,True,,2,0.0009837612541595336,0,,,,2665,0,,,,2.554076459369579,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1997,3,"General cargo",1,False,True,,4,0.0843223928373834,0,,,,87321,0,,,,83.6864955004169,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1997,5,"Other types of ships",1,False,True,,6,0.023766740098504918,0,,,,14357,0,,,,13.759428040213525,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1998,0,"Total fleet",0,False,True,,1,0.010319989431589623,0,,,,79753,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1998,1,"Oil tankers",1,False,True,,2,0.0009811022658554988,0,,,,2665,0,,,,3.34156708838539,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1998,3,"General cargo",1,False,True,,4,0.060749824059804655,0,,,,62307,0,,,,78.12496081652101,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1998,5,"Other types of ships",1,False,True,,6,0.02365973431595796,0,,,,14781,0,,,,18.5334720950936,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1999,0,"Total fleet",0,False,True,,1,0.010504614288329089,0,,,,82496,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1999,1,"Oil tankers",1,False,True,,2,0.0009508453621812799,0,,,,2665,0,,,,3.2304596586501164,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1999,3,"General cargo",1,False,True,,4,0.06236029837736059,0,,,,63456,0,,,,76.9200930954228,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1999,5,"Other types of ships",1,False,True,,6,0.024276307700947377,0,,,,16375,0,,,,19.849447245927077,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2000,0,"Total fleet",0,False,True,,1,0.008780494385385513,0,,,,69697,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2000,1,"Oil tankers",1,False,True,,2,0.001597862528379591,0,,,,4523,0,,,,6.489518917600471,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2000,3,"General cargo",1,False,True,,4,0.047445019785930624,0,,,,48166,0,,,,69.10770908360475,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2000,5,"Other types of ships",1,False,True,,6,0.0239011946423606,0,,,,17008,0,,,,24.402771998794783,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2001,0,"Total fleet",0,False,True,,1,0.0087197915139704,0,,,,70000,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2001,1,"Oil tankers",1,False,True,,2,0.0017552215673931311,0,,,,5000,0,,,,7.142857142857142,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2001,3,"General cargo",1,False,True,,4,0.04805037024211741,0,,,,48000,0,,,,68.57142857142857,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
