Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Component_Code,Component_Label,Component_Level,Component_Hidden,Component_Expand,Component_Note,Component_Order,Year,M5025_Value,M5025_Footnote_Code,M5025_Footnote_Text,M5025_MissingValue_Code,M5025_MissingValue_Label,M0100_Value,M0100_Footnote_Code,M0100_Footnote_Text,M0100_MissingValue_Code,M0100_MissingValue_Label,M0951_Value,M0951_Footnote_Code,M0951_Footnote_Text,M0951_MissingValue_Code,M0951_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2014,100,0,,,,164448325262.3059,0,,,,70656578148.22333,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2015,100,0,,,,131661044066.6179,0,,,,71195813403.94516,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2016,100,0,,,,114763688250.54002,0,,,,69985106979.88898,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2017,100,0,,,,139834648370.39935,0,,,,69880551871.59814,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2018,100,0,,,,114189182449.651,0,,,,69465174025.79625,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2019,100,0,,,,94671230890.12453,0,,,,69322992536.89339,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2020,100,0,,,,66520647133.966385,0,,,,66520647133.96638,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2021,100,0,,,,84375106839.30853,0,,,,67919411717.386505,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2022,100,0,,,,142402900036.25357,0,,,,70782895870.93967,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2023,100,0,,,,114335821893.50008,0,,,,71677101956.34691,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2024,100,0,,,,117159419822.78217,0,,,,74848030032.07008,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2024,77.46418243307878,0,,,,90756586709.05664,0,,,,68183358867.31257,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2023,76.07324690300192,0,,,,86978972087.61884,0,,,,64639208813.22562,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2022,70.68568127378137,0,,,,100658460044.2477,0,,,,58586790576.10972,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2021,66.64207946198948,0,,,,56229325745.99051,0,,,,53309516788.268745,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,01,"Final consumption expenditure",1,False,True,,2,2020,71.5486164374935,0,,,,47594602669.62012,0,,,,47594602669.620125,0,,,
