Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Year,Direction_Code,Direction_Label,Direction_Hidden,Direction_Note,Direction_Order,Flow_Code,Flow_Label,Flow_Hidden,Flow_Note,Flow_Order,M5011_Value,M5011_Footnote_Code,M5011_Footnote_Text,M5011_MissingValue_Code,M5011_MissingValue_Label,M0100_Value,M0100_Footnote_Code,M0100_Footnote_Text,M0100_MissingValue_Code,M0100_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,,38,1998,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.07820580523455832,0,,,,4627130000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,1998,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,,,,***,"Negative accumulation of flows; Value included in regional and global totals",,,,***,"Negative accumulation of flows; Value included in regional and global totals"
024,"Angola",True,1940,2102,5,True,True,,38,1999,1,"Inward",False,,1,08,"Flow",False,,1,0.2291972419921102,0,,,,2471401000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,1999,2,"Outward",False,,2,08,"Flow",False,,1,-8.19654203477126E-06,0,,,,-88290,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,1999,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.10016823509971931,0,,,,7098531000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,1999,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,,,,***,"Negative accumulation of flows; Value included in regional and global totals",,,,***,"Negative accumulation of flows; Value included in regional and global totals"
024,"Angola",True,1940,2102,5,True,True,,38,2000,1,"Inward",False,,1,08,"Flow",False,,1,0.06476086611021827,0,,,,878601000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2000,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.10813223137664382,0,,,,7977132000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2000,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,,,,***,"Negative accumulation of flows; Value included in regional and global totals",,,,***,"Negative accumulation of flows; Value included in regional and global totals"
024,"Angola",True,1940,2102,5,True,True,,38,2001,1,"Inward",False,,1,08,"Flow",False,,1,0.27750825746557783,0,,,,2145501000.0000002,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2001,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.13589456649431467,0,,,,10122633000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2001,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,,,,***,"Negative accumulation of flows; Value included in regional and global totals",,,,***,"Negative accumulation of flows; Value included in regional and global totals"
024,"Angola",True,1940,2102,5,True,True,,38,2002,1,"Inward",False,,1,08,"Flow",False,,1,0.2953532917690193,0,,,,1743504000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2002,2,"Outward",False,,2,08,"Flow",False,,1,0.020159972541066877,0,,,,100111000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2002,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.1624879585082679,0,,,,11866137000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2002,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.0012554367030206482,0,,,,91664000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2003,1,"Inward",False,,1,08,"Flow",False,,1,0.6508666969491715,0,,,,3576971780,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2003,2,"Outward",False,,2,08,"Flow",False,,1,0.018178941687243474,0,,,,95900000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2003,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.16962729260013776,0,,,,15443108800,0,,,
