AnoMes,Valor,ID,Id,Modified,Created,AuthorId,Visualizar,Codigo,ContentTypeId,GUID,EditorId,Attachments,Idioma,odata.type,ServerRedirectedEmbedUrl,FileSystemObjectType,odata.id,odata.editLink,odata.etag,OData__UIVersionString
2017-11,24.7,95,95,2023-01-26T09:41:26Z,2022-01-17T13:31:46Z,1073741823,True,23.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,76fb3691-86e1-481f-b139-d25ff067537f,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,1709f012-f2d6-4e26-af9b-fadeb325c5fb,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(95),"""2""",1.0
2017-12,23.67,96,96,2023-01-26T09:41:26Z,2022-01-17T13:31:47Z,1073741823,True,24.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,ddaaa511-8ba6-421b-9324-81765fca54e9,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,e21adc9b-e5d4-4e11-a35b-2d5a5901b332,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(96),"""2""",1.0
2018-01,22.72,97,97,2023-01-26T09:41:26Z,2022-01-17T13:31:47Z,1073741823,True,25.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,1dbc5f67-0e2f-4b50-89c8-b46f526341cb,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,4f9fc0e5-fc6f-4744-b685-ccc342f790fd,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(97),"""2""",1.0
2018-02,21.47,98,98,2023-01-26T09:41:26Z,2022-01-17T13:31:47Z,1073741823,True,26.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,dd3843c8-7cf1-4741-bb97-1f970d0be531,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,7bae34de-4a32-47fb-811c-83173b8806a2,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(98),"""2""",1.0
2018-03,20.9,99,99,2023-01-26T09:41:26Z,2022-01-17T13:31:47Z,1073741823,True,27.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,bfb13270-45f1-4a9e-a422-ba3a3cb4d4b7,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,ef0ed595-e240-4ff6-b3b3-436e454d192c,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(99),"""2""",1.0
2018-04,20.22,100,100,2023-01-26T09:41:26Z,2022-01-17T13:31:48Z,1073741823,True,28.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,c47d74b7-3a66-4427-aa74-e3c4fb6d582e,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,67bd9829-d8ae-4f7f-a615-2cd875942732,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(100),"""2""",1.0
2018-05,19.84,101,101,2023-01-26T09:41:26Z,2022-01-17T13:31:48Z,1073741823,True,29.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,b7942666-874f-4be1-8bc9-2e46f6f4fc3e,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,6eeb3124-f128-4d58-8ce4-ff462a957bb0,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(101),"""2""",1.0
2018-06,19.52,102,102,2023-01-26T09:41:26Z,2022-01-17T13:31:49Z,1073741823,True,30.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,65b90ddf-197f-466f-9f85-01b9502c9ba4,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,d14e6d9d-e586-48f0-8689-ee3e0ff34d02,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(102),"""2""",1.0
2018-07,19.01,103,103,2023-01-26T09:41:26Z,2022-01-17T13:31:50Z,1073741823,True,31.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,e51058c4-ead6-42b0-93ee-f1cca8f29520,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,ca54da94-8730-40d6-977d-4011c1c66f71,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(103),"""2""",1.0
2018-08,18.56,104,104,2023-01-26T09:41:27Z,2022-01-17T13:31:49Z,1073741823,True,32.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,da846fbe-7628-4326-b33c-0c53a16145e5,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,3248ca10-8f77-461d-8f45-b96224a564a8,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(104),"""2""",1.0
