AnoMes,Valor,ID,Id,Modified,Created,AuthorId,Visualizar,ContentTypeId,GUID,EditorId,Attachments,Idioma,odata.type,ServerRedirectedEmbedUrl,FileSystemObjectType,odata.id,odata.editLink,odata.etag,OData__UIVersionString,Codigo
2023-07,12.98,742,742,2023-08-15T10:14:45Z,2023-08-15T10:14:45Z,27,True,0x0100814E3399ADD47C45AD21546726ADFCB8,3651fa9c-d525-4d3d-896f-6bb797a1ef3a,27,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,d7fe43e5-c9e0-42c4-a45a-04d5a16c2022,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(742),"""1""",1.0,
2023-08,15.36,743,743,2023-09-13T07:35:15Z,2023-09-13T07:35:15Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,848eebd1-8f98-42f4-ad4a-aa58ca3f140b,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,861f462a-3196-4a02-b0e2-f3f6b722b87f,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(743),"""1""",1.0,
2023-09,17.83,744,744,2023-10-12T14:43:45Z,2023-10-12T14:43:45Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,d1c329f7-98e8-402e-89b8-10e8e886416e,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,eb108e02-5ed9-4137-89d3-0bd71d3b65f7,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(744),"""1""",1.0,
2023-10,20.4,745,745,2023-11-14T14:19:26Z,2023-11-14T14:19:26Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,b9f54013-f46f-4d71-97bb-abb08edd4eff,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,0a4bc3f9-c9c6-43d7-af95-131b69c9969f,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(745),"""1""",1.0,
2023-11,23.01,746,746,2023-12-13T10:17:55Z,2023-12-13T10:17:55Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,3bbceb74-96e1-4b79-bfc1-94f4055e1cef,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,b05ba81d-ed79-4df4-8a4c-8cb121189fc4,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(746),"""1""",1.0,
2023-12,26.02,747,747,2024-01-12T10:57:07Z,2024-01-12T10:57:07Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,9a9df401-cfb9-4c2c-a404-4f41e877ab35,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,b3f0acab-d97b-4918-bc19-0af53d8ab324,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(747),"""1""",1.0,
2024-01,29.22,748,748,2024-02-15T08:46:56Z,2024-02-15T08:46:56Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,1508ee12-68b5-4bb3-b89e-f1cae97535c8,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,9f41797b-10b6-402b-87e1-e9098584a72b,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(748),"""1""",1.0,
2024-02,32.61,749,749,2024-03-13T09:39:50Z,2024-03-13T09:39:50Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,5a786a1e-c257-4457-8962-f05ae9030c49,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,19efca76-d245-4ca5-a214-e952fff32cb8,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(749),"""1""",1.0,
2024-03,35.74,750,750,2024-04-15T07:53:13Z,2024-04-15T07:53:13Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,574090b3-e370-476a-a112-2e17ecde93f7,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,7ef7a125-0f8f-47c4-9dbd-bbaab95516b0,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(750),"""1""",1.0,
2024-04,38.87,751,751,2024-05-13T13:38:35Z,2024-05-13T13:38:35Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,05ebabd6-7fcd-43a5-92cd-0bb6c94c41d8,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,e2e92c5f-1100-4a9b-9fe3-8e05de2b81f9,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(751),"""1""",1.0,
