area,site_folder,periodicity,filename,extension,size_bytes,site_filepath,source_page,local_path
Economia e Finanças,Economia e Finanças/Índice de Preços no Produtor,Mensal,Índice de Preços no Produtor-portal ipp.xlsx,xlsx,102556,Economia e Finanças/Índice de Preços no Produtor/Índice de Preços no Produtor-portal ipp.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ_dAUVFD2XA_mQR-XHO3GAGVne1d98vhP3r-ghTVz-ZgvAIRNLrM7vpVsUwMv89Pj2RD-ckHLiUIsoE9uwPGfDiiEEawTGiJSUExTCeHZ_kEybky3WmhrgQgVpnjljxVyk1HGkPvKB8ncm4ojp4JD8qrrL_1HznBriviQnKyttI6A,INE\Economia e Finanças\Índice de Preços no Produtor\Índice de Preços no Produtor-portal ipp.xlsx
Economia e Finanças,Economia e Finanças/Índice de Produção Industrial,Trimestral,Índice de Produção Industrial_portal (2).xlsx,xlsx,331196,Economia e Finanças/Índice de Produção Industrial/Índice de Produção Industrial_portal (2).xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ8QwupB5Src0D2zgPXC9puhBKJMC-Zj1OkfEKpM_mS3OWkkMZKJkHKl5RQhDTxzTYjFUnVbOOKpKonjQTaJIriSQJjUGBlOPco2nN_2ltVRgFv5-yMXFdVMlzJHkAcucK_NrogwgtEmILyGIPl4bSjsecrZXR30CJvKgv6tGAMseQ,INE\Economia e Finanças\Índice de Produção Industrial\Índice de Produção Industrial_portal (2).xlsx
População e Sociedade,População e Sociedade/Anuário de Estatísticas Sociais,Anual,QUADROS-Anuario ESociais 2017-2022.xlsx,xlsx,5989342,População e Sociedade/Anuário de Estatísticas Sociais/QUADROS-Anuario ESociais 2017-2022.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ8Xe0QOeqihpW96RjesVrB30IcbpwSquDLsvwbKwE6S5_OATzR0mYKKPc6rlSs8A4YTFruWs1tHGy9_cOCJf9Ut4EcZ4gTh4q7W3I4lPLNfSUaRebeTCX7XPug_OUt2iQnF2iJIxMdyqvBcdA-HY6dlmZy75khAsPhNpmWYtdxcfg,INE\População e Sociedade\Anuário de Estatísticas Sociais\QUADROS-Anuario ESociais 2017-2022.xlsx
População e Sociedade,População e Sociedade/Boletim do Registo Civil,Não especificada no portal,QUADROS BOLETIM DO REGISTO CIVIL.xlsx,xlsx,39228,População e Sociedade/Boletim do Registo Civil/QUADROS BOLETIM DO REGISTO CIVIL.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ9lyeh4LRt_-nfVCklfo35_QtLhE2LV0aWjV1F1AxoOROQ55TSynj9k8h5yvF6vMQhORIDPW5zGNCYBwYH-D_yJtLY9tAuJAiHVAx7noPATZo_Nuh1tX1uuYau13x8HmGMMtzg5mHT-vKJT6cZwKzzUTL1fTE5TJPZVZtV3s5skww,INE\População e Sociedade\Boletim do Registo Civil\QUADROS BOLETIM DO REGISTO CIVIL.xlsx
População e Sociedade,População e Sociedade/Características dos Idosos,Não especificada no portal,Quadros Características dos Idosos em Angola.xlsx,xlsx,85444,População e Sociedade/Características dos Idosos/Quadros Características dos Idosos em Angola.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ9162rFqoVmpY-XOvylf24xAQw1yROkGMzfvuPhY2YHGLq07NQNda5oAjJwDaeKzLI5mKJp4h_pxipSUrK1jGgfWKSRq3JaZOJakOtC-TnLipZMiNvNSfqQsqo_KkKYYdP2MtQLXLiAFr0aG97aJPieAjfwhAdkQK3nS8r61vp96Q,INE\População e Sociedade\Características dos Idosos\Quadros Características dos Idosos em Angola.xlsx
População e Sociedade,População e Sociedade/Características dos Jovens em Angola,Não especificada no portal,ANEXOS_CARACTERISTICAS DOS JOVENS EM ANGOLA.xlsx,xlsx,165344,População e Sociedade/Características dos Jovens em Angola/ANEXOS_CARACTERISTICAS DOS JOVENS EM ANGOLA.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ9amBYoxYPDV6J49udL0d4R7RCZQkPr22ueGmk_NJRC7-Yv4Ba0-7E7rrTcPMORlxnyKkfeAnh9VnbmOR1IZdGQ-LJe9I68A09zFozJGWQmbNGGQzx-cSaPkULzKciRWVA0gPwB2vBiRsIjBeXemPbOLyK0xEyDRlvdjCnlIj6uLQ,INE\População e Sociedade\Características dos Jovens em Angola\ANEXOS_CARACTERISTICAS DOS JOVENS EM ANGOLA.xlsx
População e Sociedade,População e Sociedade/Género,Não especificada no portal,HOMENS E MULHERES EM ANGOLA.xlsx,xlsx,146324,População e Sociedade/Género/HOMENS E MULHERES EM ANGOLA.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ9lkbs2xpIG0JgYjdhWiXqr-FmwP-AOLN_Cy9jXbh1o73w9M0CDQ_rW5-uoy0cT2wVUkOROre2ikYiHjuWFHpE_x_MvYn_Aa4ZN9VRBszQDxumpfmRzeM-4DX7H3Sqqu7g,INE\População e Sociedade\Género\HOMENS E MULHERES EM ANGOLA.xlsx
População e Sociedade,População e Sociedade/Género,Não especificada no portal,Relatório_Temático Género.xlsx,xlsx,319863,População e Sociedade/Género/Relatório_Temático Género.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ9lkbs2xpIG0JgYjdhWiXqr-FmwP-AOLN_Cy9jXbh1o73w9M0CDQ_rW5-uoy0cT2wVUkOROre2ikYiHjuWFHpE_x_MvYn_Aa4ZN9VRBszQDxumpfmRzeM-4DX7H3Sqqu7g,INE\População e Sociedade\Género\Relatório_Temático Género.xlsx
População e Sociedade,População e Sociedade/Indicadores sobre Organizações da Economia Informal em Luanda,Não especificada no portal,DADOS_IOPREI.xlsx,xlsx,12545,População e Sociedade/Indicadores sobre Organizações da Economia Informal em Luanda/DADOS_IOPREI.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ_F_vBVnJD2vnPrvUwtXEgLk0ukNoAPrWLfArC7zKNg33SEh3q650LPkmpq77ZHsRfWrWTs_5ivLvbbsUvUQNeOy4pu9PhQHnv-sJ1AuwL5PIBxqvZegJv23oQLV3NViHeSXbV5TETUq-2V0rQslkcTUvZuZnr_A1SBGmlSn-2T_TeBRkds2hG64ZVIWau269fr4CBLgtfrCWZVBZGclzwy,INE\População e Sociedade\Indicadores sobre Organizações da Economia Informal em Luanda\DADOS_IOPREI.xlsx
População e Sociedade,População e Sociedade/Inquérito de Indicadores Múltiplos e de Saúde 2023-2024,Inquérito / irregular,"Capítulo 03 - Características dos Inquiridos, IIMS 2023-2024.xlsx",xlsx,188413,"População e Sociedade/Inquérito de Indicadores Múltiplos e de Saúde 2023-2024/Capítulo 03 - Características dos Inquiridos, IIMS 2023-2024.xlsx",https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ_0UFEJ7Wx0IaJKZ9xpQ5NABHmncWdHzjBQo-ewNSoaJFgEiINkJ9kAxe1PGMXins1Lq1UgcsNDlAZOF3Hn7PhrAWFiiSwDmqD8HLYVSsRnMl9n8X_4__SnQZUHRpm2ymwBkKtcD9g31xdnqg0TSGRzNd5IwTB9_o-BSB9qGxDki-2NKIcqB2eDH3gKcTMP24Yek1eU4z7YBX8iINjaEQ8W,"INE\População e Sociedade\Inquérito de Indicadores Múltiplos e de Saúde 2023-2024\Capítulo 03 - Características dos Inquiridos, IIMS 2023-2024.xlsx"
População e Sociedade,População e Sociedade/Inquérito de Indicadores Múltiplos e de Saúde 2023-2024,Inquérito / irregular,"Capítulo 04 - Estado Civil e Actividade Sexual, IIMS 2023-2024.xlsx",xlsx,93724,"População e Sociedade/Inquérito de Indicadores Múltiplos e de Saúde 2023-2024/Capítulo 04 - Estado Civil e Actividade Sexual, IIMS 2023-2024.xlsx",https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ_0UFEJ7Wx0IaJKZ9xpQ5NABHmncWdHzjBQo-ewNSoaJFgEiINkJ9kAxe1PGMXins1Lq1UgcsNDlAZOF3Hn7PhrAWFiiSwDmqD8HLYVSsRnMl9n8X_4__SnQZUHRpm2ymwBkKtcD9g31xdnqg0TSGRzNd5IwTB9_o-BSB9qGxDki-2NKIcqB2eDH3gKcTMP24Yek1eU4z7YBX8iINjaEQ8W,"INE\População e Sociedade\Inquérito de Indicadores Múltiplos e de Saúde 2023-2024\Capítulo 04 - Estado Civil e Actividade Sexual, IIMS 2023-2024.xlsx"
População e Sociedade,População e Sociedade/Inquérito de Indicadores Múltiplos e de Saúde 2023-2024,Inquérito / irregular,"Capítulo 05 - Fecundidade, IIMS 2023-2024.xlsx",xlsx,63231,"População e Sociedade/Inquérito de Indicadores Múltiplos e de Saúde 2023-2024/Capítulo 05 - Fecundidade, IIMS 2023-2024.xlsx",https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ_0UFEJ7Wx0IaJKZ9xpQ5NABHmncWdHzjBQo-ewNSoaJFgEiINkJ9kAxe1PGMXins1Lq1UgcsNDlAZOF3Hn7PhrAWFiiSwDmqD8HLYVSsRnMl9n8X_4__SnQZUHRpm2ymwBkKtcD9g31xdnqg0TSGRzNd5IwTB9_o-BSB9qGxDki-2NKIcqB2eDH3gKcTMP24Yek1eU4z7YBX8iINjaEQ8W,"INE\População e Sociedade\Inquérito de Indicadores Múltiplos e de Saúde 2023-2024\Capítulo 05 - Fecundidade, IIMS 2023-2024.xlsx"
População e Sociedade,População e Sociedade/Inquérito de Indicadores Múltiplos e de Saúde 2023-2024,Inquérito / irregular,"Capítulo 06 - Preferências de fecundidade, IIMS 2023-2024.xlsx",xlsx,37590,"População e Sociedade/Inquérito de Indicadores Múltiplos e de Saúde 2023-2024/Capítulo 06 - Preferências de fecundidade, IIMS 2023-2024.xlsx",https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ_0UFEJ7Wx0IaJKZ9xpQ5NABHmncWdHzjBQo-ewNSoaJFgEiINkJ9kAxe1PGMXins1Lq1UgcsNDlAZOF3Hn7PhrAWFiiSwDmqD8HLYVSsRnMl9n8X_4__SnQZUHRpm2ymwBkKtcD9g31xdnqg0TSGRzNd5IwTB9_o-BSB9qGxDki-2NKIcqB2eDH3gKcTMP24Yek1eU4z7YBX8iINjaEQ8W,"INE\População e Sociedade\Inquérito de Indicadores Múltiplos e de Saúde 2023-2024\Capítulo 06 - Preferências de fecundidade, IIMS 2023-2024.xlsx"
